"Date","Event","Data"
,LogSequenceNumber,RTCid = [12] - Time = [01/01/1970 00:00:00] - Seq. = [3]
,LogCleared,LogClearOnPowerUp
,LogNewRTCID,RTCid = [13] - Time = [01/01/1970 00:00:00]
1/1/1970 12:00:01 AM,LogPorReset
1/1/1970 12:00:01 AM,LogBLEConnection
1/1/1970 12:00:02 AM,LogDailyBattMeas,2.88 V
1/1/1970 12:00:02 AM,LogDailyTherapyTime,0 sec
1/1/1970 12:00:02 AM,LogTotalIpgTherapyTime,94933 sec
1/1/1970 12:00:02 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
1/1/1970 12:01:18 AM,LogProgramming,Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - UprightPauseMode = [Enabled] - RollPauseMode = [Enabled] - GyroscopeMode = [Disabled] - PhasicTime = [2.0 sec] - TherapyRate = [15] bpm - RiseTime = [0.1] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [1.00 mA] - OnsetRampTime = [10 min] - EndingRampTime = [0 min] - PulseWidth = [152.5 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [61.0 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [360] min - TherapyDelay = [15 min] - UprightPause = [8 min] - RollPause = [3 min] - MaxPhasicAmplitude = [1.40 mA] - MinPhasicAmplitude = [0.90 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]
1/1/1970 12:02:15 AM,LogNewRTCID,RTCid = [14] - Time = [01/01/1970 00:02:15]
5/21/2025 8:29:55 PM,LogSetTime
5/21/2025 8:29:55 PM,LogDailyBattMeas,2.84 V
5/21/2025 8:29:55 PM,LogDailyTherapyTime,0 sec
5/21/2025 8:29:55 PM,LogTotalIpgTherapyTime,94933 sec
5/21/2025 8:29:55 PM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [54 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
5/21/2025 8:29:55 PM,LogDailyImpedanceMeas,LeadImpedance = [2114 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
5/21/2025 8:32:08 PM,LogSetPatientInfo
